player,Position,Experience,Birth,Age,Salary
Tacko Fall,C,2,12/10/1995,25,218021
Taj Gibson,C,12,6/24/1985,36,4910000
Talen Horton-Tucker,SG,2,11/25/2000,20,9500000
Taurean Prince,PF,5,3/22/1994,27,13334375
Terance Mann,SF,2,10/18/1996,25,1782621
Terence Davis,SG,2,5/16/1997,24,4000000
Terrence Ross,SG,9,2/5/1991,30,12500000
Terry Rozier,SG,6,3/17/1994,27,17905263
Terry Taylor,SG,0,9/23/1999,22,895125
Thaddeus Young,PF,14,6/21/1988,33,14190000
Thanasis Antetokounmpo,SF,3,7/18/1992,29,1729217
Theo Maledon,PG,1,6/12/2001,20,2000000
Theo Pinson,SF,3,11/5/1995,25,440710
Thomas Bryant,C,4,7/31/1997,24,8666667
Tim Frazier,PG,7,11/1/1990,30,386127
Tim Hardaway Jr.,SG,8,3/16/1992,29,21306816
Timothe Luwawu-Cabarrot,SF,5,5/9/1995,26,1939350
Tobias Harris,PF,10,7/15/1992,29,35995950
Tomas Satoransky,PG-SG-SF,5,10/30/1991,29,10000000
Tony Bradley,C,4,1/8/1998,23,1789256
Tony Snell,SG,8,11/10/1991,29,2389641
Torrey Craig,SF,4,12/19/1990,30,4878049
Trae Young,PG,3,9/19/1998,23,8326471
Trayvon Palmer,SG,0,11/13/1994,26,53176
Tre Jones,PG,1,1/8/2000,21,1517981
Tre Mann,PG,0,2/3/2001,20,2901240
Tremont Waters,PG,2,1/10/1998,23,191860
Trendon Watford,SF,0,11/9/2000,20,768830
Trent Forrest,PG,1,6/12/1998,23,463211
Trevelin Queen,SG,0,2/25/1997,24,303102
Trevon Scott,SF,0,11/25/1996,24,53176
Trevor Ariza,SF,17,6/30/1985,36,2641691
Trey Burke,PG,8,11/12/1992,28,3150000
Trey Lyles,PF,6,11/5/1995,25,2500000
Trey Murphy III,SF,0,6/18/2000,21,3053760
Tristan Thompson,PF,10,3/13/1991,30,9946611
Troy Brown Jr.,SF,3,7/28/1999,22,5170564
Ty Jerome,SG,2,7/8/1997,24,2412840
Tyler Cook,PF,2,9/23/1997,24,462629
Tyler Herro,SG,2,1/20/2000,21,4004280
Tyler Johnson,PG,7,5/7/1992,29,257418
Tyrell Terry,PG,1,9/28/2000,21,1869438
Tyrese Haliburton,SG-PG,1,2/29/2000,21,4023600
Tyrese Maxey,PG,1,11/4/2000,20,2602920
Tyrone Wallace,SG,3,6/10/1994,27,198760
Tyus Jones,PG,6,5/10/1996,25,8376286
Udoka Azubuike,C,1,9/17/1999,22,2075880
Udonis Haslem,C,18,6/9/1980,41,2641691
Usman Garuba,PF,0,3/9/2002,19,2353320
Vernon Carey Jr.,C,1,2/25/2001,20,1517981
Victor Oladipo,SG,8,5/4/1992,29,2389641
Vit Krejci,SG,0,6/19/2000,21,925258
Vlatko Cancar,PF,2,4/10/1997,24,1782621
Wayne Ellington,SG,12,11/29/1987,33,2641691
Wayne Selden,SG,3,9/30/1994,27,812363
Wendell Carter Jr.,PF,3,4/16/1999,22,6920027
Wenyen Gabriel,PF,2,3/26/1997,24,522015
Wes Iwundu,SF,4,12/20/1994,26,1926834
Wesley Matthews,SG,12,10/14/1986,35,1958495
Will Barton,SG,9,1/6/1991,30,15625000
Willie Cauley-Stein,C,6,8/18/1993,28,4220083
Willy Hernangomez,C,5,5/27/1994,27,2327220
Xavier Moon,SG,0,1/2/1995,26,202069
Xavier Sneed,SF,0,12/21/1997,23,146233
Xavier Tillman,PF,1,1/12/1999,22,1517981
Xavier Tillman Sr.,PF,1,1/12/1999,22,1517981
Yuta Watanabe,SF,3,10/13/1994,27,1762796
Yves Pons,SF,0,5/7/1999,22,462629
Zach Collins,C,3,11/19/1997,23,7000000
Zach LaVine,SG,7,3/10/1995,26,19500000
Zavier Simpson,PG,0,2/11/1997,24,37223
Zeke Nnaji,PF,1,1/9/2001,20,2498760
Ziaire Williams,SF,0,9/12/2001,20,4373040
Zylan Cheatham,SF,1,11/17/1995,25,256734
