Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
PHI,96.22,109.94,107.33,23.72,23.56,42.3,44.16,5.28,4.63,7.73,6.6,12.51,13.27,3230,6932,46.6,3253,7094,45.86,950,2607,36.44,931,2692,34.58,82.1,25,18,9,21,7,29,17,6,12,9,1,4,18,23,30,15,8,8,15,22,28,8,2,6,9,1
BOS,96.58,111.76,104.48,24.83,21.62,46.06,43.71,5.8,4.57,7.21,7.55,13.65,13.82,3341,7165,46.63,3137,7219,43.45,1085,3044,35.64,969,2859,33.89,81.55,24,12,1,14,1,5,12,2,11,19,17,13,13,15,18,14,3,13,1,8,9,14,7,15,1,2
CHI,98.29,111.61,112,23.88,24.99,42.32,43.22,4.11,5,7.13,7.11,12.83,13.06,3422,7126,48.02,3397,7172,47.36,872,2364,36.89,960,2619,36.66,81.31,15,13,16,19,17,28,9,25,23,22,6,6,24,9,20,3,21,10,26,29,30,4,5,2,27,3
ATL,97.65,114.07,112.13,24.56,25.36,44.05,43.74,4.25,4.46,7.12,7.01,11.88,12.81,3489,7413,47.07,3506,7464,46.97,1081,2884,37.48,1077,2965,36.32,81.18,20,6,20,15,22,18,13,23,10,23,5,1,27,5,6,6,27,26,23,10,16,2,23,20,23,4
MIA,95.94,110.02,105.57,25.49,23.27,43.73,41.67,3.23,4.04,7.39,7.41,14.56,14.96,3246,6955,46.67,3078,6886,44.7,1114,2935,37.96,1064,3137,33.92,80.78,28,17,4,8,4,22,2,30,4,15,14,28,4,22,29,13,1,1,4,6,14,1,21,27,3,5
BKN,99.02,112.93,112.07,25.35,23.86,44.39,44.05,5.55,4.86,7.1,7.94,14.06,13.27,3487,7335,47.54,3381,7489,45.15,949,2630,36.08,1035,3000,34.5,80.33,11,9,18,10,9,13,15,5,20,25,22,18,19,6,10,4,18,28,7,23,26,10,18,23,8,6
PHX,99.74,114.83,107.33,27.37,22.87,45.27,44.48,4.39,3.99,8.56,7.46,12.9,14.7,3581,7388,48.47,3216,7243,44.4,951,2615,36.37,953,2805,33.98,79.69,9,5,8,4,2,10,19,22,3,5,15,7,6,2,7,1,7,15,3,21,27,9,4,9,5,7
DEN,97.83,112.72,110.41,27.79,25.39,44.1,42.41,3.74,4.78,7.22,7.9,14.49,12.83,3416,7079,48.26,3367,7169,46.97,1039,2942,35.32,971,2805,34.62,79.54,19,10,14,3,23,16,4,29,17,18,20,25,26,10,24,2,15,9,22,14,13,16,8,10,10,8
LAC,97.86,108.27,108.36,23.9,23.98,43.92,47.25,4.94,4.11,7.39,7.63,13.68,13.5,3354,7332,45.74,3422,7602,45.01,1072,2873,37.31,978,2837,34.47,78.88,18,23,11,17,10,20,29,9,5,16,18,14,15,14,11,22,23,30,6,12,17,3,9,12,7,9
ORL,99.24,104.24,112.23,23.74,24.8,44.27,47.16,4.5,5.23,6.77,7.99,14.49,13.16,3139,7241,43.35,3346,7300,45.84,1000,3020,33.11,1082,2978,36.33,78.69,10,29,21,20,15,14,28,20,27,28,23,26,22,28,16,28,14,18,14,15,11,28,24,21,24,10
NOP,97.16,109.29,110.08,24.9,24.74,45.38,41.7,3.99,4.69,8.18,7.36,14.02,14.04,3381,7378,45.83,3373,7183,46.96,887,2670,33.22,1086,2981,36.43,78.47,21,21,13,13,14,8,3,26,16,7,11,17,10,13,8,21,16,11,21,28,24,27,25,22,26,11
WAS,97.03,108.62,112,25.02,23.67,43.11,44.23,4.96,4.2,6.38,7.28,13.12,11.85,3327,7055,47.16,3384,7289,46.43,860,2509,34.28,941,2605,36.12,78.35,23,22,17,12,8,23,18,8,7,30,10,8,30,19,27,5,19,17,18,30,29,26,3,1,21,12
DET,98.37,104.83,112.55,23.46,25.13,43.01,46.26,4.8,5.21,7.68,7.39,14.18,14.6,3129,7269,43.05,3333,7051,47.27,925,2838,32.59,966,2667,36.22,78.24,14,28,22,24,19,25,24,14,26,10,13,20,7,29,15,29,13,6,25,27,18,29,6,5,22,13
MIL,99.89,115.49,112.13,23.9,25.88,46.73,44.11,3.98,4.35,7.55,7.38,13.4,13,3429,7330,46.78,3391,7431,45.63,1153,3151,36.59,1186,3328,35.64,77.57,7,3,19,18,25,2,16,27,9,14,12,12,25,8,12,11,20,25,11,5,6,5,30,30,19,14
MIN,100.86,115.86,113.19,25.6,26.12,44.24,45.8,5.58,4.83,8.81,7.23,14.34,16.34,3447,7542,45.7,3332,7242,46.01,1225,3422,35.8,1087,3098,35.09,77.52,1,1,24,7,26,15,22,4,19,3,8,21,1,7,4,23,12,14,16,1,1,12,26,26,13,15
DAL,95.35,108.02,104.72,23.39,23.48,43.04,43.62,3.96,3.66,6.71,7,12.48,13.06,3222,6983,46.14,3198,7000,45.69,1073,3062,35.04,895,2634,33.98,77.11,30,24,2,25,6,24,11,28,1,29,4,3,23,25,28,19,6,3,12,11,8,19,1,3,4,16
GSW,98.42,111,105.46,27.11,22.87,45.46,42.61,4.5,3.88,8.78,7.91,14.9,14.5,3323,7086,46.9,3111,7093,43.86,1176,3227,36.44,1000,2948,33.92,76.88,13,15,3,5,3,7,5,19,2,4,21,29,8,20,22,9,2,7,2,3,3,7,14,18,2,17
SAC,99.76,110.3,115.77,23.7,25.33,42.93,45.82,4.51,4.8,7.18,8.15,14.1,13.5,3321,7223,45.98,3561,7428,47.94,937,2721,34.44,1065,2864,37.19,76.83,8,16,29,22,21,26,23,18,18,20,25,19,16,21,17,20,29,24,28,26,22,24,22,16,29,18
IND,98,111.46,114.95,25.38,25.1,43.9,43.1,5.59,4.89,7.06,8.11,14.44,13.22,3398,7337,46.31,3485,7215,48.3,997,2899,34.39,986,2645,37.28,76.8,17,14,25,9,18,21,8,3,21,26,24,23,21,12,9,17,24,12,29,16,15,25,11,4,30,19
UTA,97.09,113.61,107.57,22.39,23.38,46.35,41.59,4.91,4.33,7.15,7.71,13.95,11.95,3327,7069,47.06,3314,7318,45.29,1192,3307,36.04,994,2837,35.04,76.72,22,7,10,27,5,3,1,10,8,21,19,16,29,18,25,7,10,19,8,2,2,11,13,13,12,20
CLE,96.12,107.71,105.8,25.15,24.12,44.05,42.87,4.18,4.67,7.11,8.39,14.4,13.44,3333,7115,46.84,3320,7318,45.37,975,2748,35.48,978,2781,35.17,76.18,26,25,5,11,12,17,6,24,15,24,28,22,17,16,21,10,11,20,9,20,21,15,10,8,14,21
POR,98.23,106.23,115.11,22.93,26.63,42.88,44.73,4.46,5.02,8,8.18,14.46,14.01,3161,7143,44.25,3373,7045,47.88,1043,3015,34.59,1129,3046,37.07,76,16,27,27,26,30,27,20,21,24,8,26,24,12,26,19,26,17,4,27,13,12,23,28,25,28,22
TOR,96.01,109.39,107.1,22.06,25.32,45.3,44.05,4.57,5.05,9.01,6.71,12.46,15.85,3332,7488,44.5,3197,6918,46.21,979,2803,34.93,1014,2852,35.55,75.87,27,20,7,29,20,9,14,17,25,2,2,2,2,17,5,25,5,2,17,19,20,20,16,14,18,23
OKC,98.5,103.73,111.83,22.22,26.12,45.59,48.38,4.61,5.94,7.59,8.46,13.94,13.22,3141,7307,42.99,3398,7420,45.8,991,3066,32.32,1118,3169,35.28,75.55,12,30,15,28,27,6,30,16,29,12,29,15,20,27,13,30,22,22,13,17,7,30,27,28,16,24
SAS,99.98,113.04,113.04,27.81,24.04,45.18,46.84,4.89,4.94,7.58,7.28,12.61,13.78,3583,7692,46.58,3526,7556,46.66,938,2660,35.26,1000,2775,36.04,75.4,6,8,23,2,11,11,26,11,22,13,9,5,14,1,2,16,28,29,19,25,25,18,15,7,20,25
NYK,95.91,106.48,106.6,21.87,24.17,46.13,43.62,4.88,4.65,6.93,6.95,13.23,12.65,3088,7069,43.68,3154,7049,44.74,1082,3028,35.73,1038,3032,34.23,74.39,29,26,6,30,13,4,10,13,14,27,3,10,28,30,26,27,4,5,5,9,10,13,19,24,6,26
CHA,100.01,115.18,115.1,28,26.51,44.6,46.99,4.89,4.65,8.53,7.49,13.25,14.92,3542,7589,46.67,3493,7480,46.7,1156,3170,36.47,1164,3200,36.38,74.07,5,4,26,1,29,12,27,12,13,6,16,11,5,4,3,12,26,27,20,4,4,6,29,29,25,27
MEM,100.34,115.61,109.93,25.99,24.96,49.15,43,6.51,6.09,9.77,7.17,13.2,15.07,3571,7738,46.15,3305,7267,45.48,945,2679,35.27,987,2827,34.91,73.39,3,2,12,6,16,1,7,1,30,1,7,9,3,3,1,18,9,16,10,24,23,17,12,11,11,28
LAL,100.13,112.1,115.15,24,26.27,44,46.61,5.2,4.13,7.62,8.33,14.51,14.04,3415,7278,46.92,3491,7425,47.02,982,2827,34.74,1032,2934,35.17,73.25,4,11,28,16,28,19,25,7,6,11,27,27,11,11,14,8,25,23,24,18,19,22,17,17,15,29
HOU,100.86,109.72,118.2,23.56,25.65,42.02,45.68,4.67,5.82,7.32,9.46,16.48,14.09,3229,7083,45.59,3562,7374,48.3,1105,3169,34.87,1048,2965,35.35,71.34,2,19,30,23,24,30,21,15,28,17,30,30,9,24,23,24,30,21,30,7,5,21,20,19,17,30
