player,team,TotMin,TotalGames,AvgMin
Aaron Gordon,DEN,2376,75,31.7
Aaron Henry,PHI,17,6,2.8
Aaron Holiday,PHX,358,22,16.3
Aaron Holiday,WAS,663,41,16.2
Aaron Nesmith,BOS,574,52,11
Aaron Wiggins,OKC,1209,50,24.2
Abdel Nader,PHX,145,14,10.4
Admiral Schofield,ORL,469,38,12.3
Ahmad Caver,IND,1,1,1
Al Horford,BOS,2005,69,29.1
Alec Burks,NYK,2318,81,28.6
Aleem Ford,ORL,74,5,14.8
Aleksej Pokusevski,OKC,1233,61,20.2
Alex Caruso,CHI,1147,41,28
Alex Len,SAC,620,39,15.9
Alfonzo McKinnie,CHI,206,17,12.1
Alize Johnson,CHI,120,16,7.5
Alize Johnson,NOP,28,4,7
Alize Johnson,WAS,18,3,6
Alperen Sengun,HOU,1487,72,20.7
Amir Coffey,LAC,1571,71,22.1
Andre Drummond,BKN,554,25,22.2
Andre Drummond,PHI,902,49,18.4
Andre Iguodala,GSW,603,31,19.5
Andrew Wiggins,GSW,2330,73,31.9
Anfernee Simons,POR,1681,57,29.5
Anthony Davis,LAL,1404,40,35.1
Anthony Edwards,MIN,2503,73,34.3
Anthony Gill,WAS,463,44,10.5
Anthony Lamb,SAS,8,2,4
Armoni Brooks,HOU,690,41,16.8
Armoni Brooks,TOR,154,13,11.8
Arnoldas Kulboka,CHA,5,2,2.5
Austin Reaves,LAL,1418,61,23.2
Austin Rivers,DEN,1480,67,22.1
Avery Bradley,LAL,1406,62,22.7
Ayo Dosunmu,CHI,2110,77,27.4
BJ Johnson,ORL,65,4,16.2
Bam Adebayo,MIA,1825,56,32.6
Ben McLemore,POR,1285,64,20.1
Bismack Biyombo,PHX,506,36,14.1
Blake Griffin,BKN,958,56,17.1
Boban Marjanovic,DAL,128,22,5.8
Bobby Portis,MIL,2028,72,28.2
Bogdan Bogdanovic,ATL,1903,65,29.3
Bojan Bogdanovic,UTA,2131,69,30.9
Bol Bol,DEN,81,14,5.8
Bones Hyland,DEN,1310,69,19
Brad Wanamaker,IND,293,22,13.3
Brad Wanamaker,WAS,27,1,27
Bradley Beal,WAS,1439,40,36
Brandon Boston Jr.,LAC,760,51,14.9
Brandon Clarke,MEM,1246,64,19.5
Brandon Goodwin,CLE,502,36,13.9
Brandon Ingram,NOP,1941,57,34.1
Brandon Knight,DAL,65,5,13
Brandon Williams,POR,640,24,26.7
Braxton Key,DET,191,9,21.2
Braxton Key,PHI,6,2,3
Brodric Thomas,BOS,60,12,5
Brook Lopez,MIL,298,13,22.9
Bruce Brown,BKN,1814,73,24.8
Bruno Fernando,BOS,58,20,2.9
