player,Position,Experience,Birth,Age,Salary
Deandre Ayton,C,2,7/23/1998,22,10018200
Tomas Satoransky,SG,4,10/30/1991,29,10000000
Jayson Tatum,SF,3,3/3/1998,22,9897120
Anthony Edwards,SG,0,8/5/2001,19,9757440
Al-Farouq Aminu,PF,10,9/21/1990,30,9720900
Dante Exum,SG,5,7/13/1995,25,9600000
George Hill,PG,12,5/4/1986,34,9590602
De'Anthony Melton,PG,2,5/28/1998,22,9571712
Kyle Anderson,PF,6,9/20/1993,27,9505100
Meyers Leonard,C,8,2/27/1992,28,9400000
Derrick Favors,C,10,7/15/1991,29,9258000
Derrick Jones Jr.,SF,4,2/15/1997,23,9258000
Jae Crowder,PF,8,7/6/1990,30,9258000
Montrezl Harrell,C,5,1/26/1994,26,9258000
Serge Ibaka,C,11,9/18/1989,31,9258000
Tristan Thompson,PF,9,3/13/1991,29,9258000
Dario Saric,C,4,4/8/1994,26,9250000
Ja Morant,PG,1,8/10/1999,21,9166800
Delon Wright,SG-PG,5,4/26/1992,28,9000000
Marvin Bagley III,PF,2,3/14/1999,21,8963640
Cedi Osman,SF,3,4/8/1995,25,8840580
Tyus Jones,PG,5,5/10/1996,24,8817143
James Wiseman,C,0,3/31/2001,19,8730240
Royce O'Neale,SF,3,6/5/1993,27,8500000
Maxi Kleber,PF,3,1/29/1992,28,8475000
Thomas Bryant,C,3,7/31/1997,23,8333333
RJ Barrett,SG,1,6/14/2000,20,8231760
Jakob Poeltl,C,4,10/15/1995,25,8101852
De'Aaron Fox,PG,3,12/20/1997,23,8099627
Luka Doncic,PG,2,2/28/1999,21,8049360
Lou Williams,PG,15,10/27/1986,34,8000000
Mason Plumlee,C,7,3/5/1990,30,8000000
P.J. Tucker,PF,9,5/5/1985,35,7969537
LaMelo Ball,PG,0,8/22/2001,19,7839960
Seth Curry,SG,6,8/23/1990,30,7834449
Derrick Rose,PG,11,10/4/1988,32,7682926
Cristiano Felicio,C,5,7/7/1992,28,7529020
Rajon Rondo,PG,14,2/22/1986,34,7500000
De'Andre Hunter,SF,1,12/2/1997,23,7422000
