player,team,TotMin,TotalGames,AvgMin
Malik Monk,CHA,128,8,16
Marc Gasol,LAL,424,22,19.3
Marcus Morris Sr.,LAC,283,12,23.6
Marcus Smart,BOS,549,17,32.3
Markelle Fultz,ORL,215,8,26.9
Markieff Morris,LAL,275,19,14.5
Markus Howard,DEN,16,9,1.8
Marques Bolden,CLE,29,6,4.8
Marquese Chriss,GSW,27,2,13.5
Marvin Bagley III,SAC,516,20,25.8
Mason Jones,HOU,125,10,12.5
Mason Plumlee,DET,524,20,26.2
Matisse Thybulle,PHI,290,18,16.1
Matt Thomas,TOR,71,10,7.1
Maurice Harkless,MIA,96,9,10.7
Max Strus,MIA,170,11,15.5
Maxi Kleber,DAL,219,9,24.3
Meyers Leonard,MIA,29,3,9.7
Mfiondu Kabengele,LAC,53,13,4.1
Michael Carter-Williams,ORL,160,7,22.9
Michael Porter Jr.,DEN,263,10,26.3
Mikal Bridges,PHX,597,18,33.2
Mike Conley,UTA,599,20,30
Mike Muscala,OKC,305,17,17.9
Mike Scott,PHI,153,8,19.1
Miles Bridges,CHA,543,21,25.9
Mitchell Robinson,NYK,635,22,28.9
Miye Oni,UTA,116,15,7.7
Mo Bamba,ORL,44,7,6.3
Monte Morris,DEN,524,20,26.2
Montrezl Harrell,LAL,544,22,24.7
Moritz Wagner,WAS,99,7,14.1
Moses Brown,OKC,26,6,4.3
Mychal Mulder,GSW,195,19,10.3
Myles Turner,IND,584,18,32.4
Naji Marshall,NOP,8,3,2.7
Nassir Little,POR,101,9,11.2
Nate Hinton,DAL,19,6,3.2
Nathan Knight,ATL,40,7,5.7
Naz Reid,MIN,390,18,21.7
Nemanja Bjelica,SAC,151,10,15.1
Nerlens Noel,NYK,330,19,17.4
Nick Richards,CHA,12,5,2.4
Nickeil Alexander-Walker,NOP,363,17,21.4
Nico Mannion,GSW,36,6,6
Nicolas Batum,LAC,582,20,29.1
Nicolo Melli,NOP,129,11,11.7
Nikola Jokic,DEN,715,20,35.8
Nikola Vucevic,ORL,696,21,33.1
Norman Powell,TOR,467,18,25.9
OG Anunoby,TOR,592,17,34.8
Obi Toppin,NYK,146,12,12.2
Onyeka Okongwu,ATL,60,5,12
Otto Porter Jr.,CHI,372,16,23.2
P.J. Tucker,HOU,559,18,31.1
P.J. Washington,CHA,609,21,29
PJ Dozier,DEN,330,17,19.4
Pascal Siakam,TOR,603,17,35.5
Pat Connaughton,MIL,306,17,18
Patrick Beverley,LAC,410,16,25.6
Patrick Patterson,LAC,107,8,13.4
Patrick Williams,CHI,459,18,25.5
Patty Mills,SAS,510,20,25.5
Paul George,LAC,610,18,33.9
Paul Millsap,DEN,462,20,23.1
Paul Reed,PHI,55,5,11
Paul Watson,TOR,30,9,3.3
Payton Pritchard,BOS,293,14,20.9
