Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
CHA,98.28,109.46,111.39,26.85,27.1,43.76,45.15,4.78,4.81,7.85,8.1,14.86,14.74,2875,6323,45.47,2972,6345,46.84,985,2666,36.95,1042,2847,36.6,76.15,20,23,13,6,30,19,19,16,14,10,24,24,9,22,20,22,15,14,17,10,9,14,28,30,17,21
MIN,101.63,112.12,117.68,25.64,26.83,43.51,45.78,5.51,5.51,8.78,7.65,14.28,15.32,2932,6545,44.8,3098,6425,48.22,944,2706,34.89,945,2412,39.18,76.11,4,18,29,11,29,20,22,3,26,3,17,19,3,20,6,26,27,20,28,12,7,25,21,12,30,22
MIL,102.21,120.12,114.24,25.47,25.06,48.15,43.44,4.67,4.83,8.1,7.04,13.82,13.12,3221,6610,48.73,3052,6690,45.62,1038,2668,38.91,1068,2777,38.46,75.96,2,1,22,14,17,2,13,19,15,7,6,15,20,1,1,3,23,30,5,5,8,4,30,28,29,23
DET,97.87,106.61,111.08,24.21,24.79,42.72,44.32,5.15,5.81,7.36,8.04,14.94,13.93,2783,6161,45.17,2980,6261,47.6,832,2370,35.11,817,2259,36.17,75.94,22,27,10,18,15,25,17,8,28,17,23,25,15,28,29,24,16,11,26,22,21,22,2,1,10,24
SAC,99.99,113.74,117.42,25.5,25.32,41.44,45.18,4.97,4.67,7.53,7.58,13.39,13.71,3067,6382,48.06,3139,6437,48.76,874,2400,36.42,893,2349,38.02,74.51,10,11,28,12,18,30,20,15,13,16,14,11,16,8,12,6,30,22,30,19,20,16,13,9,26,25
CLE,97.32,103.83,112.28,23.83,25.39,42.75,43.72,4.51,5.9,7.76,8.51,15.47,14.35,2778,6176,44.98,3024,6244,48.43,720,2142,33.61,893,2334,38.26,74.35,24,30,17,21,20,24,14,20,29,12,29,29,12,29,28,25,21,8,29,29,28,30,14,6,28,26
HOU,101.42,108.79,116.69,23.6,25.76,42.6,47.56,5.03,5.24,7.58,8.5,14.74,14.64,2826,6371,44.36,3075,6411,47.96,992,2922,33.95,966,2532,38.15,74.03,6,24,27,24,21,27,30,14,21,14,27,23,11,25,15,28,25,18,27,9,3,28,23,19,27,27
LAL,98.66,109.54,106.75,24.65,24.67,44.22,42.01,5.35,4.54,7.81,8.25,15.22,15.21,2925,6195,47.22,2862,6220,46.01,796,2248,35.41,818,2321,35.24,73.91,16,22,2,15,13,16,4,5,8,11,26,28,4,21,27,12,5,6,8,25,24,21,3,4,4,28
NOP,100.08,114.6,114.89,26,25.92,47.4,41.82,4.38,5.92,7.57,7.69,14.6,13.35,3060,6413,47.72,3016,6431,46.9,762,2190,34.79,1043,2745,38,72.9,9,9,24,10,25,3,3,24,30,15,19,22,18,9,10,7,19,21,19,27,25,26,29,27,25,29
OKC,100.97,105,115.64,22.06,25.78,45.62,47.12,4.4,5.25,7,8.99,16.14,13.08,2795,6339,44.09,3123,6604,47.29,857,2529,33.89,978,2687,36.4,72.46,7,28,26,27,22,5,26,23,22,23,30,30,21,27,19,29,29,29,24,20,13,29,24,26,12,30
