player,team,TotMin,TotalGames,AvgMin
Aaron Gordon,DEN,299,10,29.9
Aaron Nesmith,BOS,75,5,15
Abdel Nader,PHX,29,5,5.8
Alec Burks,NYK,128,5,25.6
Alex Caruso,LAL,121,6,20.2
Alex Len,WAS,42,5,8.4
Alfonzo McKinnie,LAL,12,2,6
Alize Johnson,BKN,23,5,4.6
Amir Coffey,LAC,16,10,1.6
Andre Drummond,LAL,105,5,21
Andre Iguodala,MIA,71,4,17.8
Anfernee Simons,POR,107,6,17.8
Anthony Davis,LAL,144,5,28.8
Anthony Gill,WAS,33,4,8.2
Anthony Tolliver,PHI,2,1,2
Austin Rivers,DEN,300,10,30
Axel Toupane,MIL,10,4,2.5
Bam Adebayo,MIA,136,4,34
Ben McLemore,LAL,36,4,9
Ben Simmons,PHI,402,12,33.5
Blake Griffin,BKN,318,12,26.5
Boban Marjanovic,DAL,83,4,20.8
Bobby Portis,MIL,366,20,18.3
Bogdan Bogdanovic,ATL,598,18,33.2
Bojan Bogdanovic,UTA,390,11,35.5
Bol Bol,DEN,6,3,2
Bradley Beal,WAS,195,5,39
Brandon Clarke,MEM,9,2,4.5
Brook Lopez,MIL,667,23,29
Bruce Brown,BKN,277,12,23.1
Bruno Fernando,ATL,12,6,2
Bryn Forbes,MIL,273,20,13.7
CJ Elleby,POR,8,2,4
CJ McCollum,POR,240,6,40
Cam Reddish,ATL,92,4,23
Cameron Johnson,PHX,443,21,21.1
Cameron Payne,PHX,418,22,19
Carmelo Anthony,POR,143,6,23.8
Carsen Edwards,BOS,5,2,2.5
Cassius Winston,WAS,5,1,5
Chandler Hutchison,WAS,18,2,9
Chris Chiozza,BKN,19,6,3.2
Chris Paul,PHX,683,20,34.1
Clint Capela,ATL,569,18,31.6
Damian Lillard,POR,248,6,41.3
Daniel Gafford,WAS,117,5,23.4
Daniel Oturu,LAC,15,8,1.9
Danilo Gallinari,ATL,442,18,24.6
Danny Green,PHI,198,8,24.8
Dario Saric,PHX,147,14,10.5
Davis Bertans,WAS,106,4,26.5
De'Andre Hunter,ATL,152,5,30.4
De'Anthony Melton,MEM,83,5,16.6
DeMarcus Cousins,LAC,58,7,8.3
Deandre Ayton,PHX,801,22,36.4
Dennis Schroder,LAL,196,6,32.7
Derrick Favors,UTA,145,11,13.2
Derrick Jones Jr.,POR,10,2,5
Derrick Rose,NYK,175,5,35
Desmond Bane,MEM,99,5,19.8
Devin Booker,PHX,889,22,40.4
Dewayne Dedmon,MIA,57,4,14.2
Dillon Brooks,MEM,175,5,35
Donovan Mitchell,UTA,346,10,34.6
Donte DiVincenzo,MIL,70,3,23.3
Dorian Finney-Smith,DAL,271,7,38.7
Duncan Robinson,MIA,100,4,25
Dwight Howard,PHI,149,12,12.4
Dwight Powell,DAL,52,7,7.4
E'Twaun Moore,PHX,46,7,6.6
Elfrid Payton,NYK,13,2,6.5
Elijah Bryant,MIL,50,11,4.5
Enes Kanter,POR,56,5,11.2
Ersan Ilyasova,UTA,3,1,3
Evan Fournier,BOS,167,5,33.4
Facundo Campazzo,DEN,275,10,27.5
Frank Kaminsky,PHX,68,10,6.8
Frank Ntilikina,NYK,4,3,1.3
Furkan Korkmaz,PHI,195,12,16.2
Gabe Vincent,MIA,14,3,4.7
Garrison Mathews,WAS,17,3,5.7
George Hill,PHI,205,12,17.1
Georges Niang,UTA,129,11,11.7
Giannis Antetokounmpo,MIL,800,21,38.1
Goran Dragic,MIA,117,4,29.2
Grant Williams,BOS,57,5,11.4
Grayson Allen,MEM,116,5,23.2
Harry Giles III,POR,4,1,4
Immanuel Quickley,NYK,77,5,15.4
Isaac Bonga,WAS,10,4,2.5
Isaiah Joe,PHI,9,4,2.2
Ish Smith,WAS,111,5,22.2
Ivica Zubac,LAC,301,17,17.7
Ja Morant,MEM,203,5,40.6
JaMychal Green,DEN,190,10,19
JaVale McGee,DEN,34,4,8.5
Jabari Parker,BOS,59,4,14.8
Jae Crowder,PHX,729,22,33.1
Jalen Brunson,DAL,114,7,16.3
Jalen Smith,PHX,18,6,3
James Harden,BKN,322,9,35.8
Jaren Jackson Jr.,MEM,137,5,27.4
Jarrell Brantley,UTA,3,2,1.5
Jay Scrubb,LAC,8,6,1.3
Jayson Tatum,BOS,185,5,37
Jeff Green,BKN,148,6,24.7
Jeff Teague,MIL,119,16,7.4
Jevon Carter,PHX,22,7,3.1
Jimmy Butler,MIA,154,4,38.5
Joe Harris,BKN,434,12,36.2
Joe Ingles,UTA,306,11,27.8
Joel Embiid,PHI,357,11,32.5
John Collins,ATL,576,18,32
John Konchar,MEM,3,1,3
Jonas Valanciunas,MEM,166,5,33.2
Jordan Clarkson,UTA,298,11,27.1
Jordan Nwora,MIL,31,5,6.2
Josh Richardson,DAL,94,7,13.4
Jrue Holiday,MIL,912,23,39.7
Julius Randle,NYK,180,5,36
Justin Jackson,MIL,15,5,3
Justise Winslow,MEM,3,1,3
Jusuf Nurkic,POR,173,6,28.8
Juwan Morgan,UTA,6,2,3
KZ Okpala,MIA,6,2,3
Kawhi Leonard,LAC,432,11,39.3
Keljin Blevins,POR,4,2,2
Kemba Walker,BOS,91,3,30.3
Kendrick Nunn,MIA,93,4,23.2
Kentavious Caldwell-Pope,LAL,146,5,29.2
Kevin Durant,BKN,485,12,40.4
Kevin Huerter,ATL,558,18,31
Kevin Knox II,NYK,4,1,4
Khris Middleton,MIL,922,23,40.1
Kris Dunn,ATL,33,5,6.6
Kristaps Porzingis,DAL,233,7,33.3
Kyle Anderson,MEM,142,5,28.4
Kyle Kuzma,LAL,129,6,21.5
Kyrie Irving,BKN,325,9,36.1
Landry Shamet,BKN,206,12,17.2
Langston Galloway,PHX,15,2,7.5
LeBron James,LAL,224,6,37.3
Lou Williams,ATL,277,18,15.4
Luka Doncic,DAL,281,7,40.1
Luke Kennard,LAC,219,15,14.6
Luke Kornet,BOS,5,2,2.5
Mamadi Diakite,MIL,35,7,5
Marc Gasol,LAL,87,5,17.4
Marcus Morris Sr.,LAC,604,19,31.8
Marcus Smart,BOS,183,5,36.6
Markieff Morris,LAL,38,4,9.5
Markus Howard,DEN,112,9,12.4
Matisse Thybulle,PHI,220,12,18.3
Matt Thomas,UTA,7,3,2.3
Max Strus,MIA,6,2,3
Maxi Kleber,DAL,187,7,26.7
Michael Porter Jr.,DEN,332,10,33.2
Mikal Bridges,PHX,707,22,32.1
Mike Conley,UTA,176,6,29.3
Mike James,BKN,103,9,11.4
Mike Scott,PHI,34,5,6.8
Miye Oni,UTA,41,8,5.1
Monte Morris,DEN,286,10,28.6
Montrezl Harrell,LAL,39,4,9.8
Nassir Little,POR,9,3,3
Nathan Knight,ATL,14,6,2.3
Nemanja Bjelica,MIA,30,2,15
Nerlens Noel,NYK,92,5,18.4
Nicolas Batum,LAC,555,19,29.2
Nicolas Claxton,BKN,130,12,10.8
Nicolo Melli,DAL,19,3,6.3
Nikola Jokic,DEN,346,10,34.6
Norman Powell,POR,216,6,36
Obi Toppin,NYK,65,5,13
Onyeka Okongwu,ATL,166,18,9.2
P.J. Tucker,MIL,681,23,29.6
Pat Connaughton,MIL,546,23,23.7
Patrick Beverley,LAC,323,17,19
Paul George,LAC,776,19,40.8
Paul Millsap,DEN,109,9,12.1
Paul Reed,PHI,10,3,3.3
Payton Pritchard,BOS,67,5,13.4
Precious Achiuwa,MIA,12,3,4
RJ Barrett,NYK,162,5,32.4
Rajon Rondo,LAC,220,13,16.9
Raul Neto,WAS,112,5,22.4
Rayjon Tucker,PHI,2,1,2
Reggie Bullock,NYK,162,5,32.4
Reggie Jackson,LAC,622,19,32.7
Reggie Perry,BKN,22,5,4.4
Robert Covington,POR,228,6,38
Robert Williams III,BOS,46,3,15.3
Robin Lopez,WAS,73,5,14.6
Romeo Langford,BOS,109,4,27.2
Rondae Hollis-Jefferson,POR,36,5,7.2
Royce O'Neale,UTA,404,11,36.7
Rudy Gobert,UTA,376,11,34.2
Rui Hachimura,WAS,173,5,34.6
Russell Westbrook,WAS,186,5,37.2
Sam Merrill,MIL,30,8,3.8
Semi Ojeleye,BOS,12,2,6
Serge Ibaka,LAC,18,2,9
Seth Curry,PHI,381,12,31.8
Shake Milton,PHI,121,12,10.1
Shaquille Harrison,DEN,40,9,4.4
Skylar Mays,ATL,17,7,2.4
Solomon Hill,ATL,145,14,10.4
T.J. Leaf,POR,7,3,2.3
Tacko Fall,BOS,1,1,1
Taj Gibson,NYK,138,5,27.6
Talen Horton-Tucker,LAL,48,4,12
Terance Mann,LAC,378,19,19.9
Thanasis Antetokounmpo,MIL,45,13,3.5
Tim Hardaway Jr.,DAL,262,7,37.4
Timothe Luwawu-Cabarrot,BKN,25,7,3.6
Tobias Harris,PHI,438,12,36.5
Tony Snell,ATL,66,9,7.3
Torrey Craig,PHX,266,22,12.1
Trae Young,ATL,603,16,37.7
Tremont Waters,BOS,6,3,2
Trent Forrest,UTA,10,4,2.5
Trevor Ariza,MIA,96,4,24
Trey Burke,DAL,17,2,8.5
Tristan Thompson,BOS,132,5,26.4
Ty-Shon Alexander,PHX,1,1,1
Tyler Herro,MIA,93,4,23.2
Tyler Johnson,BKN,69,8,8.6
Tyrese Maxey,PHI,156,12,13
Tyus Jones,MEM,47,5,9.4
Udoka Azubuike,UTA,1,1,1
Vlatko Cancar,DEN,21,5,4.2
Wesley Matthews,LAL,110,6,18.3
Will Barton,DEN,83,3,27.7
Willie Cauley-Stein,DAL,63,6,10.5
Xavier Tillman,MEM,18,3,6
Yogi Ferrell,LAC,15,9,1.7
Zeke Nnaji,DEN,18,5,3.6
