player,Position,Salary,Experience,Birth,Age
Aaron Gordon,PF,18136364,6,9/16/1995,25
Aaron Nesmith,SF,3458400,0,10/16/1999,21
Abdel Nader,SF,1752950,3,9/25/1993,27
Alec Burks,SG,6000000,9,7/20/1991,29
Alex Caruso,PG,2750000,3,2/28/1994,26
Alex Len,C,3970648,7,6/16/1993,27
Alfonzo McKinnie,SF,1762796,3,9/17/1992,28
Alize Johnson,PF,621587,2,4/22/1996,24
Amir Coffey,SG,578842,1,6/17/1997,23
Andre Drummond,C,28751774,8,8/10/1993,27
Andre Iguodala,SF,15000000,16,1/28/1984,36
Anfernee Simons,SG,2252040,2,6/8/1999,21
Anthony Davis,PF,32742000,8,3/11/1993,27
Anthony Gill,PF,898310,0,10/17/1992,28
Anthony Tolliver,PF,614838,12,6/1/1985,35
Austin Rivers,SG,3929049,8,8/1/1992,28
Axel Toupane,SF,196872,2,7/23/1992,28
Bam Adebayo,C,5115492,3,7/18/1997,23
Ben McLemore,SG,2893630,7,2/11/1993,27
Ben Simmons,PG,30559200,3,7/20/1996,24
Blake Griffin,PF,33900241,10,3/16/1989,31
Boban Marjanovic,C,3500000,5,8/15/1988,32
Bobby Portis,C,3623000,5,2/10/1995,25
Bogdan Bogdanovic,SG,18000000,3,8/18/1992,28
Bojan Bogdanovic,SF,17850000,3,8/18/1992,28
Bol Bol,PF,2058240,1,11/16/1999,21
Bradley Beal,SG,28751774,8,6/28/1993,27
Brandon Clarke,PF,2602920,1,9/19/1996,24
Brook Lopez,C,12697675,12,4/1/1988,32
Bruce Brown,PG,1663861,2,8/15/1996,24
Bruno Fernando,C,1517981,1,8/15/1998,22
Bryn Forbes,SG,2337145,4,7/23/1993,27
CJ Elleby,SF,898310,0,6/16/2000,20
CJ McCollum,SG,29354152,7,9/19/1991,29
Cam Reddish,SF,4458000,1,9/1/1999,21
Cameron Johnson,PF,4235160,1,3/3/1996,24
Cameron Payne,PG,1977011,5,8/8/1994,26
Carmelo Anthony,PF,2564753,17,5/29/1984,36
Carsen Edwards,SG,1517981,1,3/12/1998,22
Cassius Winston,PG,449115,0,2/28/1998,22
Chandler Hutchison,SF,2443440,2,4/26/1996,24
Chris Chiozza,PG,449115,2,11/21/1995,25
Chris Paul,PG,41358814,15,5/6/1985,35
Clint Capela,C,18000000,6,5/18/1994,26
Damian Lillard,PG,31626953,8,7/15/1990,30
Daniel Gafford,PF-C,1517981,1,10/1/1998,22
Daniel Oturu,C,898310,0,9/20/1999,21
Danilo Gallinari,PF,19500000,11,8/8/1988,32
Danny Green,SF,15365853,11,6/22/1987,33
Dario Saric,C,9250000,4,4/8/1994,26
Davis Bertans,PF,15000000,4,11/12/1992,28
De'Andre Hunter,SF,7422000,1,12/2/1997,23
De'Anthony Melton,PG,9571712,2,5/28/1998,22
DeMarcus Cousins,C,3051832,9,8/13/1990,30
Deandre Ayton,C,10018200,2,7/23/1998,22
Dennis Schroder,SG,15500000,7,9/15/1993,27
Derrick Favors,C,9258000,10,7/15/1991,29
Derrick Jones Jr.,SF,9258000,4,2/15/1997,23
Derrick Rose,PG,7682926,11,10/4/1988,32
Desmond Bane,SG,1936440,0,6/25/1998,22
Devin Booker,SG,29467800,5,10/30/1996,24
Dewayne Dedmon,C,3447478,7,8/12/1989,31
Dillon Brooks,SF,11400000,3,1/22/1996,24
Donovan Mitchell,PG,5195501,3,9/7/1996,24
Donte DiVincenzo,SG,3044160,2,1/31/1997,23
Dorian Finney-Smith,PF,4000000,4,5/4/1993,27
Duncan Robinson,SF,1663861,2,4/22/1994,26
Dwight Howard,C,2564753,16,12/8/1985,35
Dwight Powell,C,11080125,6,7/20/1991,29
E'Twaun Moore,SG,2331593,9,2/25/1989,31
Elfrid Payton,PG,4767000,6,2/22/1994,26
Elijah Bryant,SG,24611,0,4/19/1995,25
Enes Kanter,C,5005350,10,5/20/1992,28
Ersan Ilyasova,PF,1194542,12,5/15/1987,33
Evan Fournier,SF-SG,17150000,8,10/29/1992,28
Facundo Campazzo,PG,3200000,0,3/23/1991,29
Frank Kaminsky,C,1737145,5,4/4/1993,27
Frank Ntilikina,PG,6176578,3,7/28/1998,22
Furkan Korkmaz,SG,1762796,3,7/24/1997,23
Gabe Vincent,PG,660750,1,6/14/1996,24
Garrison Mathews,SG,688052,1,10/24/1996,24
George Hill,PG,9590602,12,5/4/1986,34
Georges Niang,PF,1783557,4,6/17/1993,27
Giannis Antetokounmpo,PF,27528088,7,12/6/1994,26
Goran Dragic,PG,18000000,12,5/6/1986,34
Grant Williams,PF,2498760,1,11/30/1998,22
Grayson Allen,SG,2545320,2,10/8/1995,25
Harry Giles III,C,1620564,2,4/22/1998,22
Immanuel Quickley,PG,2105520,0,6/17/1999,21
Isaac Bonga,SF,1663861,2,11/8/1999,21
Isaiah Joe,SG,898310,0,7/2/1999,21
Ish Smith,PG,6000000,10,7/5/1988,32
Ivica Zubac,C,7000000,4,3/18/1997,23
Ja Morant,PG,9166800,1,8/10/1999,21
JaMychal Green,PF,7199760,6,6/21/1990,30
JaVale McGee,C,4200000,12,1/19/1988,32
Jabari Parker,PF,6930729,6,3/15/1995,25
Jae Crowder,PF,9258000,8,7/6/1990,30
Jalen Brunson,PG,1663861,2,8/31/1996,24
Jalen Smith,PF,4245720,0,3/16/2000,20
James Harden,PG-SG,41254920,11,8/26/1989,31
Jaren Jackson Jr.,C,7257360,2,9/15/1999,21
Jarrell Brantley,PF,510586,1,6/7/1996,24
Jay Scrubb,SG,449115,0,9/1/2000,20
Jayson Tatum,SF,9897120,3,3/3/1998,22
Jeff Green,PF,2564753,12,8/28/1986,34
Jeff Teague,PG,3372826,11,6/10/1988,32
Jevon Carter,PG,3925000,2,9/14/1995,25
Jimmy Butler,SF,34379100,9,9/14/1989,31
Joe Harris,SF,16071429,6,9/6/1991,29
Joe Ingles,SF,10363637,6,10/2/1987,33
Joel Embiid,C,29542010,4,3/16/1994,26
John Collins,PF,4137302,3,9/23/1997,23
John Konchar,SG,2100000,1,3/22/1996,24
Jonas Valanciunas,C,15000000,8,5/6/1992,28
Jordan Clarkson,SG,11500000,6,6/7/1992,28
Jordan Nwora,SF,898310,0,9/9/1998,22
Josh Richardson,SG,10865952,5,9/15/1993,27
Jrue Holiday,PG,27026011,11,6/12/1990,30
Julius Randle,PF,19845000,6,11/29/1994,26
Justin Jackson,SF,5109637,3,3/28/1995,25
Justise Winslow,SF,13000000,5,3/26/1996,24
Jusuf Nurkic,C,12888889,6,8/23/1994,26
Juwan Morgan,PF,1517981,1,4/17/1997,23
KZ Okpala,PF,1517981,1,4/28/1999,21
Kawhi Leonard,SF,34379100,9,6/29/1991,29
Keljin Blevins,SF,449115,0,11/24/1995,25
Kemba Walker,PG,34379100,9,5/8/1990,30
Kendrick Nunn,PG,1663861,1,8/3/1995,25
Kentavious Caldwell-Pope,SG,12073020,7,2/18/1993,27
Kevin Durant,PF,40108950,12,9/29/1988,32
Kevin Huerter,SG,2761920,2,8/27/1998,22
Kevin Knox II,SF,4588680,2,8/11/1999,21
Khris Middleton,SF,33051724,8,8/12/1991,29
Kris Dunn,PG,4767000,4,3/18/1994,26
Kristaps Porzingis,C,29467800,4,8/2/1995,25
Kyle Anderson,PF,9505100,6,9/20/1993,27
Kyle Kuzma,SF,3562178,3,7/24/1995,25
Kyrie Irving,PG,33722850,9,3/23/1992,28
Landry Shamet,SG,2090040,2,3/13/1997,23
Langston Galloway,SG,2028594,6,12/9/1991,29
LeBron James,PG,39219566,17,12/30/1984,36
Lou Williams,PG,8000000,15,10/27/1986,34
Luka Doncic,PG,8049360,2,2/28/1999,21
Luke Kennard,SG,5273826,3,6/24/1996,24
Luke Kornet,C-PF,2250000,3,7/15/1995,25
Mamadi Diakite,PF,529341,0,1/21/1997,23
Marc Gasol,C,2564753,12,1/29/1985,35
Marcus Morris Sr.,PF,14883721,9,9/2/1989,31
Marcus Smart,PG,12946428,6,3/6/1994,26
Markieff Morris,PF,2331593,9,9/2/1989,31
Markus Howard,SG,535294,0,3/3/1999,21
Matisse Thybulle,SG,2711280,1,3/4/1997,23
Matt Thomas,SG,1517981,1,8/4/1994,26
Max Strus,SF,647098,1,3/28/1996,24
Maxi Kleber,PF,8475000,3,1/29/1992,28
Michael Porter Jr.,SF,3550800,1,6/29/1998,22
Mikal Bridges,SF,4359000,2,8/30/1996,24
Mike Conley,PG,34502132,13,10/11/1987,33
Mike James,PG,237648,1,8/18/1990,30
Mike Scott,PF,5005350,8,7/16/1988,32
Miye Oni,SG,1517981,1,8/4/1997,23
Monte Morris,PG,1723707,3,6/27/1995,25
Montrezl Harrell,C,9258000,5,1/26/1994,26
Nassir Little,PF,2210640,1,2/11/2000,20
Nathan Knight,PF,522989,0,9/20/1997,23
Nemanja Bjelica,PF,7150000,5,5/9/1988,32
Nerlens Noel,C,5000000,6,4/10/1994,26
Nicolas Batum,SF,11608231,12,12/14/1988,32
Nicolas Claxton,C,1517981,2,4/17/1999,21
Nicolo Melli,PF,3897436,1,1/26/1991,29
Nikola Jokic,C,29542010,5,2/19/1995,25
Norman Powell,SG-SF,10865952,5,5/25/1993,27
Obi Toppin,PF,4862040,0,3/4/1998,22
Onyeka Okongwu,C,5813640,0,12/11/2000,20
P.J. Tucker,PF,7969537,9,5/5/1985,35
Pat Connaughton,SG,4938273,5,1/6/1993,27
Patrick Beverley,PG,13333333,8,7/12/1988,32
Paul George,SF,35450412,10,5/2/1990,30
Paul Millsap,PF,10100000,14,2/10/1985,35
Paul Reed,PF,609128,0,6/14/1999,21
Payton Pritchard,SG,2035800,0,1/28/1998,22
Precious Achiuwa,PF,2582160,0,9/19/1999,21
RJ Barrett,SG,8231760,1,6/14/2000,20
Rajon Rondo,PG,7500000,14,2/22/1986,34
Raul Neto,PG,1882867,5,5/19/1992,28
Rayjon Tucker,PG,693755,1,9/24/1997,23
Reggie Bullock,SF,4200000,7,3/16/1991,29
Reggie Jackson,SG,2331593,9,4/16/1990,30
Reggie Perry,PF,489148,0,3/21/2000,20
Robert Covington,PF,12138345,7,12/14/1990,30
Robert Williams III,C,2029920,2,10/17/1997,23
Robin Lopez,C,7300000,12,4/1/1988,32
Romeo Langford,SG,3631200,1,10/25/1999,21
Rondae Hollis-Jefferson,PF,502957,5,1/3/1995,25
Royce O'Neale,SF,8500000,3,6/5/1993,27
Rudy Gobert,C,27525281,7,6/26/1992,28
Rui Hachimura,PF,4692840,1,2/8/1998,22
Russell Westbrook,PG,41358814,12,11/12/1988,32
Sam Merrill,SG,898310,0,5/15/1996,24
Semi Ojeleye,PF,1752950,3,12/5/1994,26
Serge Ibaka,C,9258000,11,9/18/1989,31
Seth Curry,SG,7834449,6,8/23/1990,30
Shake Milton,SG,1701593,2,9/26/1996,24
Shaquille Harrison,SG,915048,3,10/6/1993,27
Skylar Mays,SG,532218,0,9/5/1997,23
Solomon Hill,PF,2174318,7,3/18/1991,29
T.J. Leaf,PF,4431423,3,4/30/1997,23
Tacko Fall,C,653924,1,12/10/1995,25
Taj Gibson,C,3283684,11,6/24/1985,35
Talen Horton-Tucker,SG,1517981,1,11/25/2000,20
Terance Mann,SG,1517981,1,10/18/1996,24
Thanasis Antetokounmpo,SF,1701593,2,7/18/1992,28
Tim Hardaway Jr.,SG,18975000,7,3/16/1992,28
Timothe Luwawu-Cabarrot,SF,1824003,4,5/9/1995,25
Tobias Harris,PF,34358850,9,7/15/1992,28
Tony Snell,SG,12178571,7,11/10/1991,29
Torrey Craig,SF,1678854,3,12/19/1990,30
Trae Young,PG,6571800,2,9/19/1998,22
Tremont Waters,PG,712278,1,1/10/1998,22
Trent Forrest,PG,470690,0,6/12/1998,22
Trevor Ariza,SF,12800000,16,6/30/1985,35
Trey Burke,PG,3000000,7,11/12/1992,28
Tristan Thompson,PF,9258000,9,3/13/1991,29
Ty-Shon Alexander,SG,449115,0,7/16/1998,22
Tyler Herro,SG,3822240,1,1/20/2000,20
Tyler Johnson,SG,2028594,6,5/7/1992,28
Tyrese Maxey,SG,2478840,0,11/4/2000,20
Tyus Jones,PG,8817143,5,5/10/1996,24
Udoka Azubuike,C,1977000,0,9/17/1999,21
Vlatko Cancar,PF,1517981,1,4/10/1997,23
Wesley Matthews,SG,3623000,11,10/14/1986,34
Will Barton,SF,13723214,8,1/6/1991,29
Willie Cauley-Stein,C,4100000,5,8/18/1993,27
Xavier Tillman,PF,1300000,0,1/12/1999,21
Yogi Ferrell,PG,444149,4,5/9/1993,27
Zeke Nnaji,PF,2379840,0,1/9/2001,19
