Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
BKN,95.83,123.4,112.2,24,21,41.6,41.6,7,7,7.2,6.4,11.4,13,210,423,49.65,192,442,43.44,72,169,42.6,64,184,34.78,91.24,8,2,9,5,5,13,3,1,14,5,7,5,5,10,14,2,4,6,3,8,11,1,6,7,6,1
POR,95.01,119.5,120.83,22.83,26,41.67,44.33,5.5,4.5,5.17,6.17,11.83,11.17,252,530,47.55,258,547,47.17,97,235,41.28,91,223,40.81,85.29,11,5,13,7,14,12,12,5,8,15,6,7,12,6,6,5,12,12,11,3,5,2,11,11,14,2
UTA,99.5,123.4,115,23,22,45.6,41.2,6.2,4,5.2,8,13.6,10.4,211,432,48.84,221,472,46.82,84,207,40.58,52,158,32.91,84.73,3,1,10,6,8,3,2,4,4,14,15,13,16,9,12,3,8,8,9,7,7,4,2,3,4,3
LAC,91.79,111.14,106,22.57,20.71,42,40.57,5,2.14,6.86,5.57,11,11,273,560,48.75,274,602,45.51,94,252,37.3,95,245,38.78,84.15,15,9,5,8,3,10,1,7,1,7,4,2,13,4,4,4,14,14,7,5,3,7,14,13,12,4
PHX,93.78,104,97.5,24.33,19.33,41.83,43.17,5,4,7.17,6.67,12.5,13.83,225,491,45.82,206,498,41.37,70,195,35.9,59,197,29.95,83.87,12,13,1,4,1,11,10,8,5,6,8,9,3,7,8,9,5,10,2,9,9,8,5,9,1,5
ATL,96.13,107.3,106,19.9,21.8,42.6,44.5,5.1,4.3,5.7,6.8,11.5,12.8,385,861,44.72,381,840,45.36,122,344,35.47,108,285,37.89,83.8,7,11,6,14,7,8,13,6,7,12,9,6,6,2,1,12,15,15,5,1,1,9,16,15,11,6
BOS,95.83,112.2,123.4,21,24,41.6,41.6,7,7,6.4,7.2,13,11.4,192,442,43.44,210,423,49.65,64,184,34.78,72,169,42.6,82.48,9,8,15,12,12,14,4,2,15,9,12,11,11,13,11,13,6,3,15,10,10,10,9,5,16,7
NYK,93.72,97,104,18.6,20.6,46.4,44.2,2.8,6.8,5.8,4.8,12.2,10.8,172,432,39.81,188,424,44.34,52,152,34.21,64,178,35.96,81.65,14,16,4,16,2,2,11,15,13,11,1,8,15,15,13,15,3,4,4,13,14,11,7,6,8,8
DEN,95.01,120.83,119.5,26,22.83,44.33,41.67,4.5,5.5,6.17,5.17,11.17,11.83,258,547,47.17,252,530,47.55,91,223,40.81,97,235,41.28,80.82,10,3,12,2,10,4,5,10,11,10,2,4,9,5,5,6,11,11,12,6,6,3,15,12,15,9
MEM,99.5,115,123.4,22,23,41.2,45.6,4,6.2,8,5.2,10.4,13.6,221,472,46.82,211,432,48.84,52,158,32.91,84,207,40.58,79.41,4,7,14,10,11,15,15,12,12,2,3,1,4,8,9,8,7,5,14,14,13,13,10,10,13,10
LAL,93.78,97.5,104,19.33,24.33,43.17,41.83,4,5,6.67,7.17,13.83,12.5,206,498,41.37,225,491,45.82,59,197,29.95,70,195,35.9,77.55,13,15,3,15,13,7,6,11,9,8,11,14,8,11,7,14,9,9,8,11,8,15,8,8,7,11
MIA,98.92,98,118.5,21.5,26.75,42.25,59,3.5,3,7.25,7.5,14,15,141,357,39.5,177,378,46.83,48,143,33.57,53,162,32.72,76.54,6,14,11,11,16,9,16,13,2,4,14,15,1,16,16,16,2,2,10,15,15,12,3,4,3,12
MIL,98.92,118.5,98,26.75,21.5,59,42.25,3,3.5,7.5,7.25,15,14,177,378,46.83,141,357,39.5,53,162,32.72,48,143,33.57,75.28,5,6,2,1,6,1,9,14,3,3,13,16,2,14,15,7,1,1,1,12,12,14,1,1,5,13
WAS,102.21,110,124,22.4,26.6,43.4,44.8,4.8,7.2,4.8,8.6,13.4,11.8,203,443,45.82,229,448,51.12,35,121,28.93,57,151,37.75,75.17,1,10,16,9,15,6,14,9,16,16,16,12,10,12,10,10,10,7,16,16,16,16,4,2,10,14
DAL,91.79,106,111.14,20.71,22.57,40.57,42,2.14,5,5.57,6.86,11,11,274,602,45.51,273,560,48.75,95,245,38.78,94,252,37.3,70.71,16,12,8,13,9,16,7,16,10,13,10,3,14,3,3,11,13,13,13,4,4,6,13,14,9,15
PHI,100.36,119.5,110.3,25.8,20.8,43.7,42.2,6.5,4.1,8.2,5.7,12.6,12.8,438,856,51.17,400,880,45.45,113,284,39.79,93,287,32.4,67.76,2,4,7,3,4,5,8,3,6,1,5,10,7,1,2,1,16,16,6,2,2,5,12,16,2,16
