Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
PHI,92.24,104.5,104.17,21.75,21.08,39.08,40,4.42,4.17,6,7.08,14.75,11.58,437,939,46.54,462,1016,45.47,149,400,37.25,116,388,29.9,84.93,14,10,4,10,5,13,6,8,7,14,8,12,14,8,8,5,10,9,8,6,6,6,9,9,1,1
CHI,100.33,95.2,109.8,23,23.4,44,52,3.2,4.8,7.8,6.4,13,15.4,182,451,40.35,203,431,47.1,52,184,28.26,70,184,38.04,83.33,3,16,10,6,6,5,16,14,10,5,4,5,4,14,13,16,3,4,11,14,11,15,5,4,13,2
PHX,93.07,107.62,108.62,25.69,19.31,40.15,40.62,3.77,3,6.62,7.69,13.31,13,535,1076,49.72,496,1074,46.18,128,353,36.26,165,431,38.28,81.71,12,7,8,2,1,10,8,9,3,10,10,6,11,5,6,2,12,12,9,7,8,8,12,10,14,3
MIN,102.4,109.17,114.67,22.83,25.83,40,46.5,8,6.17,8,8,17.5,15.83,218,492,44.31,239,528,45.27,83,214,38.79,69,191,36.13,80.95,1,5,15,7,14,11,15,1,14,4,12,16,2,11,11,11,7,8,7,9,9,2,4,5,9,4
MIA,94.22,104.22,100.39,21.89,20.56,41,40.5,3.61,4.67,8.33,6.17,12.89,15.5,684,1536,44.53,624,1400,44.57,196,626,31.31,207,612,33.82,80.41,9,11,1,9,3,9,7,11,8,2,3,4,3,3,3,10,13,13,5,4,4,13,14,14,4,5
BOS,95.33,105.54,101.96,24.5,20.88,42.92,42.33,6.25,4.75,6.42,8.17,14.71,13.29,881,1962,44.9,902,2069,43.6,328,879,37.32,268,807,33.21,79.68,7,9,3,5,4,7,11,3,9,11,13,11,9,2,1,7,16,16,2,1,1,5,15,15,3,6
TOR,91.2,103.17,111.5,20.67,24,37.67,41.83,4.83,4.83,6.67,5.17,10,14.5,230,516,44.57,229,469,48.83,59,197,29.95,82,201,40.8,79.37,15,12,13,13,9,14,10,6,11,9,2,1,5,10,9,9,6,5,13,10,10,14,7,7,15,7
DEN,96.85,110,118,25,28.6,41.8,35.8,3.4,6.2,7,9.4,16.4,13,197,414,47.58,210,408,51.47,56,157,35.67,76,180,42.22,79.37,6,3,16,4,16,8,2,13,15,8,15,14,12,13,14,4,4,2,15,12,15,9,6,3,16,8
UTA,90.91,99,104.67,17.17,19.33,44.83,37.67,3.67,2.33,4,6.5,11.67,8.67,210,474,44.3,215,484,44.42,49,179,27.37,93,251,37.05,78.62,16,14,5,16,2,4,3,10,1,16,5,3,16,12,12,12,5,6,4,15,12,16,8,8,11,9
ATL,95.2,97.4,109.4,18.6,25.4,39.4,40,2.4,2.8,5.8,9.4,16.4,13.2,172,391,43.99,199,428,46.5,57,175,32.57,66,192,34.38,78.18,8,15,9,15,12,12,5,16,2,15,16,15,10,15,15,13,2,3,10,11,13,12,3,6,6,10
NOP,93.41,109.83,111.33,21.33,26.83,45.67,35.67,3.5,4,6.33,7.83,14.5,11,234,506,46.25,260,497,52.31,56,158,35.44,52,163,31.9,78.03,11,4,12,11,15,3,1,12,6,12,11,9,15,9,10,6,8,7,16,13,14,10,2,2,2,11
DAL,92.54,106.33,105.61,19.17,23.5,36.5,45.06,2.78,3.56,7.17,5.06,10.22,13.33,653,1455,44.88,701,1470,47.69,284,747,38.02,184,522,35.25,77.14,13,8,6,14,7,15,13,15,4,7,1,2,8,4,4,8,14,14,12,3,3,3,13,13,7,12
GSW,97.08,111.86,106.82,27,24.09,43.86,41.59,4.95,4.86,7.73,7.36,14.55,13.77,910,1894,48.05,826,1880,43.94,308,821,37.52,312,831,37.55,76.55,5,2,7,1,10,6,9,5,12,6,9,10,7,1,2,3,15,15,3,2,2,4,16,16,12,13
BKN,93.75,109,113.5,22.25,25.75,34,39.5,6.5,4,8,8.75,15.25,14,157,312,50.32,165,337,48.96,46,109,42.2,49,138,35.51,73.79,10,6,14,8,13,16,4,2,5,3,14,13,6,16,16,1,1,1,14,16,16,1,1,1,8,14
MEM,101.9,112.5,110.08,25.17,25,45.75,45.17,6.08,6.83,9.17,6.75,13.75,17.83,477,1097,43.48,469,1038,45.18,157,431,36.43,164,451,36.36,73.54,2,1,11,3,11,2,14,4,16,1,7,8,1,6,5,15,11,10,6,5,5,7,11,11,10,15
MIL,98.44,102.75,101.25,20.83,24,50.5,43.25,4.58,5.5,6.33,6.67,13.75,12.83,462,1057,43.71,439,1043,42.09,127,388,32.73,162,476,34.03,73.09,4,13,2,12,8,1,12,7,13,13,6,7,13,7,7,14,9,11,1,8,7,11,10,12,5,16
