player,Position,Experience,Birth,Age,Salary
Juancho Hernangomez,PF,5,9/28/1995,26,6803190
Juwan Morgan,PF,2,4/17/1997,24,211046
Karl-Anthony Towns,C,6,11/15/1995,25,31650600
Kessler Edwards,SF,0,8/9/2000,21,463211
Kevin Durant,PF,13,9/29/1988,33,42018900
Kevin Huerter,SF,3,8/27/1998,23,4253357
Kevin Knox II,SF,3,8/11/1999,22,5845978
Kevon Looney,C,6,2/6/1996,25,5178572
Khem Birch,C,4,9/28/1992,29,6350000
Khris Middleton,SF,9,8/12/1991,30,35500000
Klay Thompson,SG,8,2/8/1990,31,37980720
Kyle Anderson,PF,7,9/20/1993,28,9937150
Kyle Lowry,PG,15,3/25/1986,35,26984128
Kyrie Irving,PG,10,3/23/1992,29,35328700
Landry Shamet,SG,3,3/13/1997,24,3768342
Larry Nance Jr.,C-PF,6,1/1/1993,28,10690909
Luka Doncic,PG,3,2/28/1999,22,10174391
Luke Kornet,C,4,7/15/1995,26,812364
Malachi Flynn,PG,1,5/10/1998,23,2048040
Malik Beasley,SG,5,11/26/1996,24,14491964
Malik Fitts,PF,1,7/4/1997,24,630874
Marcus Smart,PG,7,3/6/1994,27,13839285
Markieff Morris,PF,10,9/2/1989,32,2641691
Marquese Chriss,PF,5,7/2/1997,24,1292900
Matisse Thybulle,SG,2,3/4/1997,24,2840160
Max Strus,SF,2,3/28/1996,25,1669178
Maxi Kleber,PF,4,1/29/1992,29,8750000
Mikal Bridges,SF,3,8/30/1996,25,5557725
Mike Conley,PG,14,10/11/1987,34,21000000
Monte Morris,PG,4,6/27/1995,26,8449074
Moses Moody,SG,0,5/31/2002,19,3562200
Naji Marshall,SF,1,1/24/1998,23,1517981
Naz Reid,C,2,8/26/1999,22,1782621
Nemanja Bjelica,C,6,5/9/1988,33,2089448
Nic Claxton,C,2,4/17/1999,22,1782621
Nickeil Alexander-Walker,SG,2,9/2/1998,23,3261480
Nik Stauskas,SG,5,10/7/1993,28,534993
Nikola Jokic,C,6,2/19/1995,26,31044906
Nikola Vucevic,C,10,10/24/1990,30,24000000
OG Anunoby,SF,4,7/17/1997,24,16071429
Omer Yurtseven,C,0,6/19/1998,23,1489065
Onyeka Okongwu,C,1,12/11/2000,20,6104280
Otto Porter Jr.,PF,8,6/3/1993,28,2389641
P.J. Tucker,PF,10,5/5/1985,36,7000000
Pascal Siakam,PF,5,4/2/1994,27,33003936
Pat Connaughton,SF,6,1/6/1993,28,5333334
Patrick Beverley,PG,9,7/12/1988,33,14320987
Patrick Williams,PF,1,8/26/2001,20,7422000
Patty Mills,SG,15,2/10/1985,36,5890000
Paul Millsap,C,15,2/10/1985,36,2641691
Paul Reed,C,1,6/14/1999,22,1517981
Payton Pritchard,PG,1,1/28/1998,23,2137440
