player,team,TotMin,TotalGames,AvgMin
Aaron Gordon,DEN,160,5,32
Aaron Holiday,PHX,20,6,3.3
Aaron Nesmith,BOS,52,14,3.7
Al Horford,BOS,815,23,35.4
Alex Caruso,CHI,113,4,28.2
Andre Drummond,BKN,60,4,15
Andre Iguodala,GSW,61,7,8.7
Andrew Wiggins,GSW,767,22,34.9
Anthony Edwards,MIN,227,6,37.8
Armoni Brooks,TOR,8,4,2
Austin Rivers,DEN,108,5,21.6
Ayo Dosunmu,CHI,86,5,17.2
Bam Adebayo,MIA,614,18,34.1
Bismack Biyombo,PHX,86,9,9.6
Blake Griffin,BKN,25,2,12.5
Boban Marjanovic,DAL,6,3,2
Bobby Portis,MIL,298,12,24.8
Bogdan Bogdanovic,ATL,107,4,26.8
Bojan Bogdanovic,UTA,214,6,35.7
Bones Hyland,DEN,87,5,17.4
Brandon Clarke,MEM,296,12,24.7
Brandon Ingram,NOP,236,6,39.3
Brook Lopez,MIL,332,12,27.7
Bruce Brown,BKN,139,4,34.8
Bryn Forbes,DEN,76,5,15.2
CJ McCollum,NOP,234,6,39
Caleb Martin,MIA,209,17,12.3
Cameron Johnson,PHX,320,13,24.6
Cameron Payne,PHX,172,13,13.2
Charles Bassey,PHI,12,3,4
Chris Boucher,TOR,130,6,21.7
Chris Paul,PHX,448,13,34.5
Clint Capela,ATL,40,2,20
Coby White,CHI,98,5,19.6
D'Angelo Russell,MIN,196,6,32.7
Dalano Banton,TOR,8,4,2
Damion Lee,GSW,124,16,7.8
Daniel Theis,BOS,200,16,12.5
Danilo Gallinari,ATL,112,5,22.4
Danny Green,PHI,319,12,26.6
Danuel House Jr.,UTA,112,6,18.7
Davis Bertans,DAL,192,18,10.7
De'Andre Hunter,ATL,175,5,35
De'Anthony Melton,MEM,170,10,17
DeAndre Jordan,PHI,31,3,10.3
DeMar DeRozan,CHI,203,5,40.6
DeMarcus Cousins,DEN,57,5,11.4
Deandre Ayton,PHX,397,13,30.5
Delon Wright,ATL,137,5,27.4
