player,team,TotalGames
Aaron Gordon,DEN,5
Aaron Holiday,PHX,6
Aaron Nesmith,BOS,12
Al Horford,BOS,23
Alex Caruso,CHI,4
Andre Drummond,BKN,4
Andre Iguodala,GSW,6
Andrew Wiggins,GSW,22
Anthony Edwards,MIN,6
Armoni Brooks,TOR,2
Austin Rivers,DEN,5
Ayo Dosunmu,CHI,5
Bam Adebayo,MIA,18
Bismack Biyombo,PHX,9
Blake Griffin,BKN,2
Boban Marjanovic,DAL,3
Bobby Portis,MIL,12
Bogdan Bogdanovic,ATL,4
Bojan Bogdanovic,UTA,6
Bones Hyland,DEN,5
Brandon Clarke,MEM,12
Brandon Ingram,NOP,6
Brook Lopez,MIL,12
Bruce Brown,BKN,4
Bryn Forbes,DEN,5
CJ McCollum,NOP,6
Caleb Martin,MIA,16
Cameron Johnson,PHX,13
Cameron Payne,PHX,13
Charles Bassey,PHI,3
Chris Boucher,TOR,6
Chris Paul,PHX,13
Clint Capela,ATL,2
Coby White,CHI,5
D'Angelo Russell,MIN,6
Dalano Banton,TOR,3
Damion Lee,GSW,15
Daniel Theis,BOS,16
Danilo Gallinari,ATL,5
Danny Green,PHI,12
Danuel House Jr.,UTA,6
Davis Bertans,DAL,18
De'Andre Hunter,ATL,5
De'Anthony Melton,MEM,10
DeAndre Jordan,PHI,2
DeMar DeRozan,CHI,5
DeMarcus Cousins,DEN,5
Deandre Ayton,PHX,13
Delon Wright,ATL,5
Derrick Jones Jr.,CHI,5
Derrick White,BOS,23
Desmond Bane,MEM,12
Devin Booker,PHX,10
Devonte' Graham,NOP,6
Dewayne Dedmon,MIA,14
Dillon Brooks,MEM,11
Donovan Mitchell,UTA,6
Dorian Finney-Smith,DAL,18
Draymond Green,GSW,22
Duncan Robinson,MIA,13
Dwight Powell,DAL,18
Elfrid Payton,PHX,2
Eric Paschall,UTA,4
Facundo Campazzo,DEN,3
Frank Ntilikina,DAL,11
Fred VanVleet,TOR,4
Furkan Korkmaz,PHI,8
Gabe Vincent,MIA,18
Garrett Temple,NOP,1
Gary Payton II,GSW,12
Gary Trent Jr.,TOR,6
George Hill,MIL,5
Georges Niang,PHI,12
Giannis Antetokounmpo,MIL,12
Goran Dragic,BKN,4
Gorgui Dieng,ATL,2
Grant Williams,BOS,24
Grayson Allen,MIL,12
Greg Monroe,MIN,1
Hassan Whiteside,UTA,6
Haywood Highsmith,MIA,8
Herbert Jones,NOP,6
Isaac Bonga,TOR,1
Isaiah Joe,PHI,6
Ish Wainright,PHX,5
Ja Morant,MEM,9
JaMychal Green,DEN,5
JaVale McGee,PHX,12
Jaden McDaniels,MIN,6
Jaden Springer,PHI,3
Jae Crowder,PHX,13
Jalen Brunson,DAL,18
Jalen Johnson,ATL,2
James Harden,PHI,12
Jared Butler,UTA,1
Jaren Jackson Jr.,MEM,12
Jarred Vanderbilt,MIN,6
Jarrett Culver,MEM,3
Javonte Green,CHI,5
Jaxson Hayes,NOP,6
Jaylen Brown,BOS,24
Jaylen Nowell,MIN,1
Jayson Tatum,BOS,24
Jeff Green,DEN,5
Jevon Carter,MIL,9
Jimmy Butler,MIA,17
Joel Embiid,PHI,10
John Collins,ATL,5
John Konchar,MEM,7
Jonas Valanciunas,NOP,6
Jonathan Kuminga,GSW,14
Jordan Clarkson,UTA,6
Jordan McLaughlin,MIN,5
Jordan Nwora,MIL,6
Jordan Poole,GSW,22
Jose Alvarado,NOP,6
Josh Green,DAL,13
Jrue Holiday,MIL,12
Juan Toscano-Anderson,GSW,10
Juancho Hernangomez,UTA,6
Juwan Morgan,BOS,3
Karl-Anthony Towns,MIN,6
Kessler Edwards,BKN,2
Kevin Durant,BKN,4
Kevin Huerter,ATL,5
Kevin Knox II,ATL,2
Kevon Looney,GSW,22
Khem Birch,TOR,6
Khris Middleton,MIL,2
Klay Thompson,GSW,22
Kyle Anderson,MEM,12
Kyle Lowry,MIA,10
Kyrie Irving,BKN,4
Landry Shamet,PHX,12
Larry Nance Jr.,NOP,6
Luca Vildoza,MIL,5
Luka Doncic,DAL,15
Luke Kornet,BOS,5
Malachi Flynn,TOR,6
Malik Beasley,MIN,6
Malik Fitts,BOS,4
Marcus Smart,BOS,21
Markieff Morris,MIA,1
Marquese Chriss,DAL,8
Matisse Thybulle,PHI,9
Max Strus,MIA,18
Maxi Kleber,DAL,18
Mikal Bridges,PHX,13
Mike Conley,UTA,6
Monte Morris,DEN,5
Moses Moody,GSW,10
Naji Marshall,NOP,6
Naz Reid,MIN,5
Nemanja Bjelica,GSW,15
Nic Claxton,BKN,4
Nickeil Alexander-Walker,UTA,1
Nik Stauskas,BOS,9
Nikola Jokic,DEN,5
Nikola Vucevic,CHI,5
OG Anunoby,TOR,6
Omer Yurtseven,MIA,9
Onyeka Okongwu,ATL,5
Otto Porter Jr.,GSW,19
P.J. Tucker,MIA,18
Pascal Siakam,TOR,6
Pat Connaughton,MIL,12
Patrick Beverley,MIN,6
Patrick Williams,CHI,5
Patty Mills,BKN,4
Paul Millsap,PHI,1
Paul Reed,PHI,12
Payton Pritchard,BOS,24
Precious Achiuwa,TOR,6
Rayjon Tucker,MIL,5
Reggie Bullock,DAL,18
Robert Williams III,BOS,17
Royce O'Neale,UTA,6
Rudy Gobert,UTA,6
Sam Hauser,BOS,3
Scottie Barnes,TOR,4
Serge Ibaka,MIL,6
Seth Curry,BKN,4
Shake Milton,PHI,12
Skylar Mays,ATL,2
Spencer Dinwiddie,DAL,18
Stephen Curry,GSW,22
