player,team,TotMin,TotalGames,AvgMin
A.J. Lawson,DAL,61,12,5.1
A.J. Lawson,MIN,2,1,2
AJ Green,MIL,219,24,9.1
AJ Griffin,ATL,1122,55,20.4
Aaron Gordon,DEN,1483,49,30.3
Aaron Holiday,ATL,725,50,14.5
Aaron Nesmith,IND,1300,53,24.5
Aaron Wiggins,OKC,846,46,18.4
Admiral Schofield,ORL,350,27,13
Al Horford,BOS,1381,45,30.7
Alec Burks,DET,1015,46,22.1
Aleksej Pokusevski,OKC,677,31,21.8
Alex Caruso,CHI,1190,49,24.3
Alex Len,SAC,46,13,3.5
Alize Johnson,SAS,30,4,7.5
Alondes Williams,BKN,5,1,5
Alperen Sengun,HOU,1499,53,28.3
Amir Coffey,LAC,570,40,14.2
Andre Drummond,CHI,582,45,12.9
Andre Iguodala,GSW,42,3,14
Andrew Nembhard,IND,1435,53,27.1
Andrew Wiggins,GSW,1190,37,32.2
Anfernee Simons,POR,1989,56,35.5
Anthony Davis,LAL,1168,35,33.4
Anthony Edwards,MIN,2174,60,36.2
Anthony Gill,WAS,411,41,10
Anthony Lamb,GSW,835,43,19.4
Austin Reaves,LAL,1144,41,27.9
Austin Rivers,MIN,949,45,21.1
Ayo Dosunmu,CHI,1584,56,28.3
Bam Adebayo,MIA,1909,54,35.4
Ben Simmons,BKN,1105,42,26.3
Bennedict Mathurin,IND,1693,60,28.2
Bismack Biyombo,PHX,629,45,14
Blake Griffin,BOS,376,26,14.5
Blake Wesley,SAS,196,15,13.1
Boban Marjanovic,HOU,83,19,4.4
Bobby Portis,MIL,1258,47,26.8
Bogdan Bogdanovic,ATL,1015,34,29.9
Bojan Bogdanovic,DET,1796,56,32.1
Bol Bol,ORL,1251,54,23.2
Bones Hyland,DEN,820,42,19.5
Bones Hyland,LAC,16,1,16
Bradley Beal,WAS,1148,35,32.8
Brandon Boston,LAC,224,21,10.7
Brandon Boston Jr.,LAC,239,18,13.3
Brandon Clarke,MEM,1020,51,20
Brandon Ingram,NOP,772,24,32.2
Braxton Key,DET,9,3,3
Brook Lopez,MIL,1696,56,30.3
Bruce Brown,DEN,1670,58,28.8
Bruno Fernando,ATL,4,1,4
Bruno Fernando,HOU,364,31,11.7
Bryce McGowens,CHA,382,26,14.7
Bryn Forbes,MIN,267,25,10.7
Buddy Hield,IND,1921,60,32
CJ McCollum,NOP,1820,52,35
Cade Cunningham,DET,400,12,33.3
Caleb Houstan,ORL,549,34,16.1
Caleb Martin,MIA,1485,49,30.3
Cam Reddish,NYK,438,20,21.9
Cam Reddish,POR,69,3,23
Cam Thomas,BKN,679,41,16.6
Cameron Johnson,BKN,89,3,29.7
Cameron Johnson,PHX,429,17,25.2
Cameron Payne,PHX,671,28,24
Caris LeVert,CLE,1677,55,30.5
Carlik Jones,CHI,1,1,1
Cedi Osman,CLE,1218,58,21
Charles Bassey,SAS,354,26,13.6
Chima Moneke,SAC,8,2,4
Chimezie Metu,SAC,476,44,10.8
