player,Position,Experience,Birth,Age,Salary,S+1,S+2,S+3
A.J. Lawson,SG,0,7/15/2000,22,371432,1761752,0,0
AJ Green,SG,0,9/27/1999,23,508891,1761752,0,0
AJ Griffin,SF,0,8/25/2003,19,3536160,3712920,3889920,5967137
Aaron Gordon,PF,8,9/16/1995,27,19690909,21266182,22841455,22841455
Aaron Holiday,PG,4,9/30/1996,26,1968175,0,0,0
Aaron Nesmith,SF,2,10/16/1999,23,3804360,5634257,7837251,0
Aaron Wiggins,SG,1,1/2/1999,23,1563518,1836096,1988598,0
Admiral Schofield,SF,2,3/30/1997,25,508891,1761752,0,0
Al Horford,C,15,6/3/1986,36,26500000,10000000,9500000,0
Alec Burks,SG,11,7/20/1991,31,10012800,10489600,0,0
Aleksej Pokusevski,PF,2,12/26/2001,20,3261480,5009633,7073602,0
Alex Caruso,SG,5,2/28/1994,28,9030000,9460000,9890000,0
Alex Len,C,9,6/16/1993,29,3918600,0,0,0
Alize Johnson,PF,4,4/22/1996,26,192293,0,0,0
Alondes Williams,SG,0,6/19/1999,23,254446,0,0,0
Alperen Sengun,C,1,7/25/2002,20,3375360,3536280,5424654,7621638
Amir Coffey,SG,3,6/17/1997,25,3395062,3666667,3938271,0
Andre Drummond,C,10,8/10/1993,29,3200000,3360000,0,0
Andre Iguodala,SF,18,1/28/1984,38,2905851,0,0,0
Andrew Nembhard,SG,0,1/16/2000,22,2244111,2131905,2019699,2187451
Andrew Wiggins,SF,8,2/23/1995,27,33616770,24330357,26276786,28223215
Anfernee Simons,SG,4,6/8/1999,23,22321429,24107143,25892857,27678571
Anthony Davis,C,10,3/11/1993,29,37980720,40600080,43219440,0
Anthony Edwards,SG,2,8/5/2001,21,10733400,13534817,17595263,0
Anthony Gill,PF,2,10/17/1992,30,1836090,1997238,0,0
Anthony Lamb,SF,2,1/20/1998,24,508891,1761752,0,0
Austin Reaves,SG,1,5/29/1998,24,1563518,0,0,0
Austin Rivers,SG,10,8/1/1992,30,2905851,0,0,0
Ayo Dosunmu,SG,1,1/17/2000,22,1563518,0,0,0
Bam Adebayo,C,5,7/18/1997,25,30351780,32600060,34848340,37096620
Ben Simmons,PG,4,7/20/1996,26,35448672,37893408,40338144,0
Bennedict Mathurin,SF,0,6/19/2002,20,6586800,6916080,7245720,9187573
Bismack Biyombo,C,11,8/28/1992,30,2905851,0,0,0
Blake Griffin,C,12,3/16/1989,33,2905851,0,0,0
Blake Wesley,SG,0,3/16/2003,19,2385480,2504640,2624280,4726328
Boban Marjanovic,C,7,8/15/1988,34,4292847,0,0,0
Bobby Portis,C,7,2/10/1995,27,10843350,11710818,12578286,13445754
Bogdan Bogdanovic,SG,5,8/18/1992,30,18000000,18000000,0,0
Bojan Bogdanovic,PF,5,8/18/1992,30,19550000,20000000,19032850,0
Bol Bol,PF,3,11/16/1999,22,2200000,2200000,0,0
Bones Hyland,SG,1,9/14/2000,22,2201520,2306400,4158439,6137856
Bradley Beal,SG,10,6/28/1993,29,43279250,46741590,50203930,53666270
Brandon Boston,SG,1,11/28/2001,20,1563518,1836096,0,0
Brandon Clarke,PF,3,9/19/1996,26,4343919,12500000,12500000,12500000
Brandon Ingram,SF,6,9/2/1997,25,31650600,33833400,36016200,0
Braxton Key,SF,1,2/14/1997,25,201802,0,0,0
Brook Lopez,C,14,4/1/1988,34,13906976,0,0,0
Bruce Brown,SF,4,8/15/1996,26,6479000,6802950,0,0
Bruno Fernando,C,3,8/15/1998,24,2717391,2581522,2717391,2853260
Bryce McGowens,SG,0,11/8/2002,19,508891,1761752,0,0
Bryn Forbes,SG,6,7/23/1993,29,2298385,0,0,0
Buddy Hield,SG,6,12/17/1992,29,21177750,19279841,0,0
CJ McCollum,SG,9,9/19/1991,31,33333333,35802469,33333333,30666666
Cade Cunningham,SG,1,9/25/2001,21,10552800,11055360,13940809,18123052
Caleb Houstan,SF,0,1/9/2003,19,2000000,2000000,2019699,2187451
Caleb Martin,SF,3,9/28/1995,27,6479000,6802950,7126900,0
Cam Reddish,SF,3,9/1/1999,23,5954454,8109966,0,0
Cam Thomas,SG,1,10/13/2001,21,2138160,2240160,4041249,5993172
Cameron Johnson,PF,3,3/3/1996,26,5887899,8060533,0,0
Cameron Payne,PG,7,8/8/1994,28,6000000,6500000,0,0
Caris LeVert,SG,6,8/25/1994,28,18796296,0,0,0
Carlik Jones,PG,1,12/23/1997,24,336336,1761752,0,0
Cedi Osman,SF,5,4/8/1995,27,7426088,6718842,0,0
Charles Bassey,C,1,10/28/2000,21,566085,1761752,0,0
Chima Moneke,SF,0,12/24/1995,26,500000,0,0,0
Chimezie Metu,C,4,3/22/1997,25,1910860,0,0,0
Chris Boucher,SF,5,1/11/1993,29,12690000,11750000,10810000,0
Chris Duarte,SG,1,6/13/1997,25,3936960,4124400,5893768,8151081
Chris Paul,PG,17,5/6/1985,37,28400000,30800000,30800000,0
Chris Silva,PF,3,9/19/1996,26,218636,0,0,0
Christian Braun,SG,0,4/17/2001,21,2808600,2949120,3089640,4921797
Christian Koloko,C,0,6/20/2000,22,1500000,1719864,2019699,0
Christian Wood,C,6,9/27/1995,27,14317459,0,0,0
Chuma Okeke,PF,2,8/18/1998,24,3433320,5266712,7399731,0
Clint Capela,C,8,5/18/1994,28,18706896,21116000,22765280,0
Coby White,PG,3,2/16/2000,22,7413955,9942113,0,0
Cody Martin,SF,3,9/28/1995,27,7000000,7560000,8120000,8680000
Cole Anthony,PG,2,5/15/2000,22,3613680,5539771,7744600,0
Cole Swider,SF,0,5/8/1999,23,508891,547349,0,0
Collin Sexton,SG,4,1/4/1999,23,16500000,17325000,18150000,18975000
Corey Kispert,SF,1,3/3/1999,23,3552840,3722040,5705887,7976830
Cory Joseph,PG,11,8/20/1991,31,5155500,0,0,0
