Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
PHI,97.36,114.35,110.46,25.09,23.82,40.54,41.98,4.68,4.84,7.98,6.7,13.77,14.98,2315,4795,48.28,2296,4866,47.18,721,1876,38.43,639,1855,34.45,83,26,16,3,16,6,28,5,15,18,8,6,9,10,28,30,8,1,1,13,13,20,4,1,2,2,1
MIA,96.59,108.34,108.31,23.42,25.19,41.34,42.17,3.03,3.88,8.46,6.85,13.34,16.25,2305,5098,45.21,2328,4880,47.7,686,2054,33.4,773,2105,36.72,82.78,28,30,2,23,12,26,9,30,3,3,9,5,3,29,21,29,3,2,20,19,9,28,28,23,21,2
BOS,98.6,117.86,111.73,26.41,22.86,45.07,43.58,5.25,3.86,6.29,6.54,13.46,12.63,2468,5202,47.44,2480,5319,46.63,941,2492,37.76,683,1935,35.3,82.59,20,4,6,6,2,6,17,7,2,28,4,6,27,14,14,15,21,25,7,2,2,7,7,11,10,3
ATL,100.64,116.39,116.75,24.66,25.64,43.88,45.56,4.93,5,6.97,7.39,12.73,14.53,2600,5445,47.75,2537,5311,47.77,622,1794,34.67,694,1989,34.89,81.58,9,8,21,20,17,12,26,12,21,19,17,4,14,1,2,13,25,23,21,27,28,22,11,15,7,4
CHI,99.75,113.31,113.4,24.22,25.93,42.72,43.45,4.53,4.95,7.6,6.79,14,14.81,2460,5038,48.83,2394,5097,46.97,599,1666,35.95,748,2117,35.33,81.25,14,20,14,22,24,19,15,19,19,10,7,11,12,16,23,6,10,10,9,30,30,15,23,25,11,5
OKC,101.19,117.89,116.25,24.68,25.39,43.72,46.53,4.88,5.49,8.28,7.37,13.54,16.86,2484,5272,47.12,2377,5060,46.98,694,1907,36.39,723,2017,35.85,80.27,5,3,20,19,14,13,29,14,27,5,16,7,1,11,10,18,7,6,10,17,18,11,16,19,13,6
POR,97.79,114.88,115.03,24.24,26.02,41.53,41.41,4.33,4.21,6.26,7.53,14.62,13.33,2366,4907,48.22,2440,5044,48.37,756,2016,37.5,697,1883,37.02,80.26,23,13,18,21,25,25,3,22,11,29,21,19,22,25,28,9,14,4,25,8,10,8,12,8,27,7
SAC,100.55,119.46,117.18,26.79,25.84,41.77,42.02,3.33,4.16,6.89,7.4,14.04,14.4,2460,4981,49.39,2497,5065,49.3,755,2068,36.51,672,1829,36.74,80.2,10,1,23,5,22,23,6,29,10,20,18,14,16,17,26,3,22,7,29,9,8,9,5,1,22,8
IND,100.98,114.5,117.13,26.4,26.3,41.6,45.62,5.82,5.12,7.97,7.87,15.15,15.67,2462,5364,45.9,2522,5291,47.67,828,2290,36.16,753,2015,37.37,79.57,8,15,22,7,27,24,27,3,24,9,27,24,5,15,5,25,24,22,19,5,5,14,24,18,29,9
PHX,98.03,112.78,111.24,27.15,23.46,44.02,42.92,5,4.07,7.32,7.51,14.19,14.97,2457,5289,46.45,2363,5060,46.7,728,1924,37.84,672,1866,36.01,79.31,22,22,5,3,5,10,12,9,6,12,19,17,11,18,9,22,5,5,8,11,16,6,4,4,15,10
